location,city,address,voting_area,formatted_address,latitude,longitude
Sgt. Fernando De La Rosa Library,ALAMO,416 N. Tower Rd Alamo TX,Meeting Room,"416 N Tower Rd, Alamo, TX 78516, USA",26.1861704,-98.10993239999999
Alton Recreation Center,ALTON,349 Dawes Ave Alton TX,Classroom 1,"Sylvia Vela Park, 349 Dawes Ave, Alton, TX 78573, USA",26.2814913,-98.3173563
Amigos Del Valle,DONNA,1408 Silver Ave Donna TX,Main Entrance,"1408 Silver Ave, Donna, TX 78537, USA",26.1663002,-98.0478211
Sgt. Rodriguez Community Center,EDCOUCH,320 W. Santa Rosa Ave Edcouch TX,Meeting Room,"320 W Santa Rosa Ave, Edcouch, TX 78538, USA",26.2940856,-97.9635313
San Carlos Endowment Center,EDINBURG/SAN CARLOS,107 N. Sunflower Rd Edinburg TX,Conference Room,"Sunflower Rd, Texas, USA",26.3291064,-98.0420874
Edinburg Conference Center at Renaissance,EDINBURG,118 Paseo Del Prado Edinburg TX,Conference Room,"118 Paseo Del Prado, Edinburg, TX 78539, USA",26.2552013,-98.2003428
Elections Annex,EDINBURG,317 N. Closner Blvd Edinburg TX,Rear Annex Room,"317 N Closner Blvd, Edinburg, TX 78541, USA",26.3041473,-98.1622998
UTRGV,EDINBURG,1201 W. University Dr Edinburg TX,Student Academic Center (ESTAC),"1201 W University Dr, Edinburg, TX 78539, USA",26.3080613,-98.17298369999999
Municipal Court,ELSA,216 E. 4th St Elsa TX,Court Chambers,"216 E 4th St, Elsa, TX 78543, USA",26.296112,-97.9863581
Granjeno Public Facility,GRANJENO,6553 S. FM 494 Mission TX,Computer Lab/Library,"6553 S Farm to Market 494, Mission, TX 78572, USA",26.1367383,-98.303694
Hidalgo Public Library,HIDALGO,710 E. Ramón Ayala Dr Hidalgo TX,Conference Room,"710 E Ramon Ayala Dr, Hidalgo, TX 78557, USA",26.1038835,-98.2539347
La Joya Youth Center,LA JOYA,604 Salomon Chapa Dr La Joya TX,North Entrance,"604 Salomon Chapa St, La Joya, TX 78560, USA",26.2501368,-98.47243739999999
